西城 格调 2007年 高层  南北通透  视野开阔 诚心出售,3室1厅 | 138.79平米 | 南 北 | 简装 | 中楼层(共23层) | 2007年建 | 塔楼,1550,111,680元/平
2007年楼龄 新街口3层朝南精装 看房方便 地铁300米,1室1厅 | 55.92平米 | 南 | 精装 | 中楼层(共4层) | 2007年建 | 板楼,750,134,121元/平
月坛南街小四道口 2室1厅 南 北,2室1厅 | 60.18平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,880,146,228元/平
教场口9号院05年建成 西南向三居 房本满5年 看房方便,3室1厅 | 84.68平米 | 西南 | 精装 | 高楼层(共21层) | 2005年建 | 塔楼,1250,147,615元/平
政泰家园西向一居室 视野开阔无浪费,1室1厅 | 59.18平米 | 西 | 简装 | 高楼层(共22层) | 2004年建 | 板塔结合,466,78,743元/平
西城区 红莲中里 南向一居室 不临街 满五年家庭唯一,1室0厅 | 26.66平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,410,153,789元/平
德外德胜里一区 带电梯 高楼层采光好,3室1厅 | 79.7平米 | 东南 | 精装 | 高楼层(共18层) | 1987年建 | 塔楼,1200,150,565元/平
黄寺大街24号南北田字格全明三居俯瞰公园,3室1厅 | 78.6平米 | 南 北 | 精装 | 6层 | 1984年建 | 板楼,1209,153,817元/平
满五唯一，中间楼层，南北通透，视野宽阔，采光充足。,2室1厅 | 57平米 | 南 北 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,850,149,123元/平
高楼层 无遮挡  看房方便  随时能签约,2室1厅 | 81平米 | 东南 | 简装 | 高楼层(共26层) | 2004年建 | 塔楼,890,109,877元/平
西城三义里 南北通透 低楼层 户型方正 配套齐全,2室1厅 | 57.21平米 | 南 北 | 简装 | 中楼层(共5层) | 1980年建 | 板楼,638,111,519元/平
大拐棒胡同/大拐棒胡同小区/大拐棒胡同12,2室1厅 | 47.3平米 | 南 | 简装 | 低楼层(共6层) | 1976年建 | 板塔结合,770,162,791元/平
西城区马连道。带车位，板楼南北两居，满五，诚心出售,2室1厅 | 81.96平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,849,103,588元/平
右安门内大街 2室1厅 东 西,2室1厅 | 57.11平米 | 东 西 | 简装 | 中楼层(共7层) | 1991年建 | 板楼,650,113,816元/平
西城区二环内 西南两居带明厅 楼龄新 采光好 环境好,2室1厅 | 77.8平米 | 西南 | 简装 | 低楼层(共22层) | 2000年建 | 塔楼,776,99,743元/平
德外新风南里 正规田字格三居室 方正布局 落地飘窗,3室1厅 | 62.9平米 | 南 北 | 精装 | 底层(共5层) | 1977年建 | 板楼,1090,173,291元/平
西城区 荣丰2008  南向复式  精装修 诚意出售,1室1厅 | 26.99平米 | 南 | 精装 | 中楼层(共10层) | 2005年建 | 板塔结合,468,173,398元/平
榆树馆西里 1室1厅 南,1室1厅 | 38.3平米 | 南 | 简装 | 低楼层(共18层) | 1987年建 | 塔楼,555,144,909元/平
西城广外三义里 两居 满五唯一 南北 有电梯 7号线湾子,2室1厅 | 60.31平米 | 南 北 | 简装 | 中楼层(共12层) | 1986年建 | 板楼,635,105,290元/平
裕中东里南北三居 全明格局 可签约,3室1厅 | 77.8平米 | 东南 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,998,128,278元/平
西直门南大街四居室业主诚心出售，看房方便,4室1厅 | 94.2平米 | 南 西 北 | 精装 | 高楼层(共16层) | 1987年建 | 塔楼,1300,138,005元/平
西城区西二环商品社区，花园洋房人车分流，采光充足,2室1厅 | 106.46平米 | 南 | 简装 | 中楼层(共21层) | 2005年建 | 板塔结合,1170,109,901元/平
西城区广外 远见名苑  开间  采光无遮挡,1室0厅 | 57.75平米 | 西 | 简装 | 顶层(共24层) | 2004年建 | 板塔结合,509,88,139元/平
陶然亭  满五唯一  低楼层   南北通透,3室1厅 | 75.23平米 | 南 北 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,860,114,317元/平
双槐里小区南北两居室 采光无遮挡 满五年家庭唯一,2室1厅 | 44.43平米 | 南 北 | 简装 | 顶层(共6层) | 1990年建 | 板楼,610,137,295元/平
三里河南二巷双南两居，采光好，无遮挡,2室1厅 | 54.9平米 | 南 | 简装 | 顶层(共6层) | 1981年建 | 板楼,789,143,716元/平
车站东街15号院 西南向 中间层  两居室,2室1厅 | 51.92平米 | 西南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,510,98,229元/平
广信嘉园 3室1厅 东 南,3室1厅 | 143.05平米 | 东 南 | 简装 | 高楼层(共18层) | 2002年建 | 塔楼,1250,87,383元/平
后桃园胡同低楼层南北三居室，采光好,3室1厅 | 54.1平米 | 南 北 | 简装 | 底层(共5层) | 1980年建 | 板楼,780,144,178元/平
车公庄北里  中低层一居室  1995年楼龄,1室1厅 | 49.2平米 | 东 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,635,129,066元/平
